iter	Logloss
0	0.4849926762
1	0.3870165668
2	0.3396596345
3	0.3146431474
4	0.3004845193
5	0.2914088814
6	0.2860220012
7	0.2822833847
8	0.2786802933
9	0.2756743264
10	0.2735502022
11	0.2719336498
12	0.2706501467
13	0.2698239844
14	0.2688193719
15	0.2682636857
16	0.2677878496
17	0.2674602719
18	0.2669712226
19	0.2666202742
20	0.2663310755
21	0.266158904
22	0.2659110377
23	0.2657534146
24	0.2655509737
25	0.2654566327
26	0.265302172
27	0.2651975611
28	0.2650808857
29	0.2649418041
30	0.2648681328
31	0.2648168786
32	0.2647212602
33	0.2646310847
34	0.2645011162
35	0.2644142239
36	0.2643644397
37	0.2643052684
38	0.2642575704
39	0.2642173318
40	0.2641649434
41	0.264079404
42	0.2640371381
43	0.2640072959
44	0.2639629099
45	0.2639587404
46	0.2639261219
47	0.2638982823
48	0.2638449815
49	0.2638101779
50	0.2637558997
51	0.2637314543
52	0.2637109949
53	0.2637050939
54	0.2636865748
55	0.2636828825
56	0.2636794528
57	0.263633076
58	0.2636117046
59	0.2635665772
60	0.2635373139
61	0.2635234504
62	0.2634975295
63	0.2634670946
64	0.2634423334
65	0.263399325
66	0.2633659515
67	0.263348611
68	0.2633299894
69	0.2633005922
70	0.2632635029
71	0.2632514395
72	0.2632429386
73	0.2632247836
74	0.2632082392
75	0.2631798397
76	0.2631630092
77	0.2631532119
78	0.263123974
79	0.2630975139
80	0.2630914563
81	0.2630729827
82	0.2630667262
83	0.2630014344
84	0.2629851753
85	0.2629626917
86	0.2629320798
87	0.2629225075
88	0.2629094973
89	0.2628923067
90	0.2628866118
91	0.2628513381
92	0.2628244445
93	0.262793454
94	0.2627778853
95	0.2627685675
96	0.2627532876
97	0.2627323686
98	0.2627248552
99	0.2627139215
100	0.2627005654
101	0.2626850047
102	0.2626641698
103	0.262644395
104	0.2626074057
105	0.2625873639
106	0.2625738622
107	0.2625469424
108	0.2625218384
109	0.2624943328
110	0.2624734285
111	0.2624530345
112	0.2624430481
113	0.2624387692
114	0.2624212981
115	0.2624141144
116	0.2624014703
117	0.262385678
118	0.2623516612
119	0.2623301926
120	0.2623174615
121	0.2623133044
122	0.2623059994
123	0.2622876475
124	0.2622820442
125	0.2622395848
126	0.2622166248
127	0.262202975
128	0.2621846314
129	0.2621712066
130	0.2621662377
131	0.2621596733
132	0.2621584139
133	0.2621496188
134	0.2621357118
135	0.2621059892
136	0.2620882129
137	0.2620657369
138	0.2620611068
139	0.2620353692
140	0.2620094811
141	0.2619957468
142	0.2619803168
143	0.261961794
144	0.2619508887
145	0.2619303997
146	0.2619176702
147	0.2619116458
148	0.2618943359
149	0.2618842459
150	0.2618742134
151	0.2618460465
152	0.2618293903
153	0.2618095784
154	0.2618026227
155	0.261785359
156	0.2617703474
157	0.2617532223
158	0.2617334428
159	0.2617248388
160	0.2617166918
161	0.2617122139
162	0.2617055725
163	0.2616940085
164	0.2616837401
165	0.2616749867
166	0.2616628943
167	0.2616483683
168	0.2616302822
169	0.2615944059
170	0.2615877361
171	0.2615736281
172	0.2615695692
173	0.2615505385
174	0.2615403
175	0.2615093319
176	0.2615005031
177	0.2614868339
178	0.2614656115
179	0.2614595368
180	0.2614354538
181	0.2614174677
182	0.261391276
183	0.2613730705
184	0.2613641701
185	0.261348988
186	0.2613394688
187	0.2613298784
188	0.2613251497
189	0.2613027707
190	0.2613005915
191	0.2612859021
192	0.2612628414
193	0.2612568266
194	0.2612467133
195	0.2612285357
196	0.261223658
197	0.2612088681
198	0.2611987646
199	0.2611936057
200	0.261186956
201	0.2611692893
202	0.2611686225
203	0.2611611263
204	0.2611432051
205	0.2611402968
206	0.2611204755
207	0.2611032401
208	0.261098538
209	0.2610701912
210	0.2610595239
211	0.2610521953
212	0.2610368396
213	0.2610283471
214	0.2610110872
215	0.2609977699
216	0.260967702
217	0.2609584761
218	0.2609490652
219	0.2609334503
220	0.2609222344
221	0.2609168665
222	0.2609087349
223	0.2608980369
224	0.2608835018
225	0.2608674939
226	0.2608439684
227	0.2608258989
228	0.2608156861
229	0.26080148
230	0.2607937769
231	0.2607930187
232	0.2607831515
233	0.2607818505
234	0.2607786618
235	0.26076416
236	0.2607550871
237	0.2607489951
238	0.2607402703
239	0.2607170893
240	0.2606888227
241	0.2606731517
242	0.2606661284
243	0.2606641634
244	0.260656409
245	0.260643275
246	0.2606244457
247	0.2606227542
248	0.260613008
249	0.2606047812
250	0.2605895722
251	0.2605726441
252	0.2605568242
253	0.2605494199
254	0.2605411409
255	0.2605369863
256	0.260517645
257	0.2605041593
258	0.2604950588
259	0.2604856349
260	0.2604851465
261	0.2604828862
262	0.260467278
263	0.2604512852
264	0.2604484501
265	0.2604322436
266	0.2604227806
267	0.2604132552
268	0.2604030362
269	0.2603896085
270	0.2603786629
271	0.2603692366
272	0.2603516673
273	0.2603482186
274	0.2603330835
275	0.2603181581
276	0.2603064735
277	0.2602983008
278	0.2602895804
279	0.2602774202
280	0.2602590448
281	0.2602548701
282	0.2602402494
283	0.2602291299
284	0.2602251548
285	0.2602238437
286	0.2602102001
287	0.2601918
288	0.2601872384
289	0.2601809558
290	0.2601720494
291	0.2601701552
292	0.2601489632
293	0.2601417416
294	0.2601346709
295	0.2601275048
296	0.2601194461
297	0.2601111631
298	0.2601037253
299	0.2600901769
300	0.2600826768
301	0.2600664133
302	0.2600558263
303	0.260048133
304	0.2600433219
305	0.2600258436
306	0.2600190534
307	0.2600032975
308	0.2599987658
309	0.2599845268
310	0.2599814037
311	0.2599656593
312	0.2599572245
313	0.259956045
314	0.25994711
315	0.2599416571
316	0.2599264178
317	0.2599193654
318	0.259911784
319	0.2599023707
320	0.2599008026
321	0.2598877467
322	0.2598790887
323	0.2598679644
324	0.2598598436
325	0.2598557797
326	0.2598526247
327	0.259850438
328	0.2598401574
329	0.2598285995
330	0.2598249597
331	0.2598117165
332	0.2597963297
333	0.2597752233
334	0.259758047
335	0.2597570534
336	0.2597503128
337	0.2597432451
338	0.2597283903
339	0.2597081416
340	0.2596902197
341	0.2596768154
342	0.2596725382
343	0.2596605187
344	0.2596446611
345	0.2596331522
346	0.2596172784
347	0.2596077591
348	0.2595976532
349	0.2595817389
350	0.2595765832
351	0.2595543031
352	0.2595472874
353	0.2595340604
354	0.2595240749
355	0.2595164752
356	0.2594936117
357	0.2594821526
358	0.259474404
359	0.2594618411
360	0.259448076
361	0.2594383026
362	0.2594278106
363	0.2594124387
364	0.2594041463
365	0.2593956159
366	0.2593887158
367	0.2593815432
368	0.2593743164
369	0.2593545968
370	0.2593506704
371	0.2593365527
372	0.2593202494
373	0.2593115562
374	0.2593063544
375	0.2592982811
376	0.2592868169
377	0.2592749275
378	0.2592601365
379	0.2592543051
380	0.2592370155
381	0.2592124042
382	0.2592043105
383	0.259201659
384	0.2591983468
385	0.2591918104
386	0.259186907
387	0.2591746681
388	0.2591593626
389	0.2591504482
390	0.2591394091
391	0.2591316702
392	0.2591258644
393	0.2591231244
394	0.2591141225
395	0.2591026811
396	0.2590976303
397	0.2590905255
398	0.2590830431
399	0.2590726835
400	0.2590583414
401	0.2590489857
402	0.2590421452
403	0.259036465
404	0.25903063
405	0.2590174566
406	0.2590065549
407	0.2589999223
408	0.2589986551
409	0.2589876453
410	0.25898111
411	0.2589770266
412	0.2589653029
413	0.2589525464
414	0.2589402407
415	0.2589307418
416	0.2589130255
417	0.2589036702
418	0.258900515
419	0.2588948284
420	0.2588836421
421	0.2588801509
422	0.2588678141
423	0.2588568416
424	0.2588388391
425	0.2588327912
426	0.2588253794
427	0.258816741
428	0.258805439
429	0.2587932482
430	0.258778843
431	0.2587690517
432	0.2587576415
433	0.258742294
434	0.2587297717
435	0.2587197412
436	0.2587060422
437	0.2587027477
438	0.2586929174
439	0.2586716182
440	0.2586596314
441	0.2586563503
442	0.2586457576
443	0.2586341186
444	0.2586152436
445	0.2586022336
446	0.2585868446
447	0.2585798111
448	0.2585592425
449	0.2585389652
450	0.2585365363
451	0.2585193309
452	0.258515616
453	0.2585060289
454	0.2584992088
455	0.2584885339
456	0.2584772636
457	0.2584713664
458	0.2584607414
459	0.2584405483
460	0.2584281497
461	0.2584217826
462	0.2584177755
463	0.2584119587
464	0.2584028232
465	0.2583940516
466	0.2583899006
467	0.2583760769
468	0.2583638348
469	0.2583557233
470	0.2583537332
471	0.2583402099
472	0.2583196474
473	0.2582985839
474	0.2582880582
475	0.2582801654
476	0.2582719238
477	0.2582700006
478	0.2582470094
479	0.2582461789
480	0.258231379
481	0.2582221444
482	0.2582133372
483	0.2582043249
484	0.2582003098
485	0.2581972814
486	0.2581882552
487	0.2581832856
488	0.2581744161
489	0.2581654754
490	0.2581570773
491	0.258142576
492	0.2581362215
493	0.2581297268
494	0.2581238634
495	0.2581155678
496	0.2581144102
497	0.2581027882
498	0.2580936192
499	0.2580910536
500	0.2580833334
501	0.2580751483
502	0.2580604052
503	0.2580534858
504	0.2580455961
505	0.258034449
506	0.2580255067
507	0.258019921
508	0.2580109654
509	0.2579876988
510	0.2579839895
511	0.2579730098
512	0.2579558714
513	0.2579458352
514	0.2579247848
515	0.2579060791
516	0.2578991123
517	0.2578898143
518	0.2578812884
519	0.2578736838
520	0.2578593065
521	0.2578510375
522	0.2578466138
523	0.2578395674
524	0.257822712
525	0.25781179
526	0.2578086709
527	0.2578056327
528	0.2577953558
529	0.257791185
530	0.2577844484
531	0.2577747212
532	0.2577652073
533	0.2577539337
534	0.2577457895
535	0.2577385174
536	0.2577314205
537	0.2577205639
538	0.2577050547
539	0.2576901776
540	0.2576867064
541	0.257683978
542	0.257679549
543	0.2576721216
544	0.2576621165
545	0.257648507
546	0.2576392105
547	0.257630466
548	0.2576205236
549	0.2576173785
550	0.2576108888
551	0.2575984792
552	0.2575903561
553	0.257581402
554	0.2575733019
555	0.2575633861
556	0.2575484084
557	0.2575385433
558	0.257530624
559	0.2575188876
560	0.2575110423
561	0.2575016084
562	0.2574866733
563	0.2574802994
564	0.2574734412
565	0.2574623746
566	0.2574512299
567	0.257436582
568	0.2574308172
569	0.257426703
570	0.2574207966
571	0.2574113067
572	0.2574059369
573	0.2573938287
574	0.2573874939
575	0.2573856588
576	0.2573787259
577	0.2573722497
578	0.2573699917
579	0.257367074
580	0.257363295
581	0.2573557122
582	0.2573541404
583	0.2573510697
584	0.2573284284
585	0.2573129801
586	0.2573075579
587	0.2572997203
588	0.2572915094
589	0.2572803624
590	0.2572694362
591	0.2572604108
592	0.2572512523
593	0.2572417852
594	0.2572329767
595	0.2572256435
596	0.2572195236
597	0.2572027818
598	0.2571950263
599	0.2571765232
600	0.2571678686
601	0.257151675
602	0.2571446787
603	0.2571380688
604	0.2571211844
605	0.2571140157
606	0.2571099792
607	0.2571070418
608	0.257097765
609	0.2570860455
610	0.2570683332
611	0.2570544417
612	0.2570460203
613	0.2570420683
614	0.2570376402
615	0.2570212471
616	0.2570107858
617	0.2569990326
618	0.2569900618
619	0.2569754547
620	0.2569668892
621	0.2569653597
622	0.2569519675
623	0.2569373823
624	0.2569220836
625	0.256906131
626	0.2568996965
627	0.2568844489
628	0.2568747529
629	0.2568603926
630	0.2568476277
631	0.2568357557
632	0.2568290776
633	0.2568178738
634	0.2568093101
635	0.2567856923
636	0.2567683601
637	0.2567617295
638	0.2567522631
639	0.2567464519
640	0.2567356641
641	0.256721316
642	0.256718168
643	0.2567125132
644	0.2567091149
645	0.2567022263
646	0.2566943191
647	0.2566826081
648	0.2566748404
649	0.2566650709
650	0.2566631796
651	0.2566523847
652	0.256634959
653	0.2566214557
654	0.2566123005
655	0.2566017437
656	0.2565882306
657	0.2565818822
658	0.2565691369
659	0.2565624982
660	0.256558693
661	0.2565526077
662	0.2565468305
663	0.2565374209
664	0.2565287719
665	0.2565094942
666	0.2565051509
667	0.2564975522
668	0.2564903025
669	0.2564893431
670	0.2564777071
671	0.2564685029
672	0.2564490993
673	0.2564419285
674	0.256425775
675	0.2564138134
676	0.2564121927
677	0.2564087292
678	0.2563987309
679	0.2563860328
680	0.2563730099
681	0.2563636402
682	0.2563588036
683	0.2563465121
684	0.2563417766
685	0.2563365601
686	0.2563309767
687	0.2563276433
688	0.2563135071
689	0.2562974569
690	0.2562846247
691	0.2562738824
692	0.2562698511
693	0.2562649599
694	0.256258116
695	0.2562543249
696	0.2562421845
697	0.2562338543
698	0.2562265853
699	0.2562202271
700	0.2562075
701	0.2561963127
702	0.2561896071
703	0.2561824569
704	0.2561794589
705	0.2561638947
706	0.2561596082
707	0.2561546503
708	0.2561505454
709	0.2561430768
710	0.2561327184
711	0.256126023
712	0.2561168989
713	0.2561016539
714	0.2560961443
715	0.2560898222
716	0.2560835256
717	0.2560828921
718	0.256078812
719	0.2560728723
720	0.256066039
721	0.2560629125
722	0.2560481179
723	0.2560379484
724	0.2560321885
725	0.2560208401
726	0.2560127518
727	0.2560033126
728	0.2559966099
729	0.2559805459
730	0.2559732434
731	0.2559627296
732	0.2559551292
733	0.2559411248
734	0.2559345239
735	0.2559303369
736	0.255923815
737	0.2559181436
738	0.2559131075
739	0.2559040328
740	0.2558998718
741	0.2558869978
742	0.2558736884
743	0.2558664435
744	0.2558640052
745	0.2558598235
746	0.2558477356
747	0.2558314502
748	0.2558158886
749	0.2558107476
750	0.2558020196
751	0.2557999391
752	0.2557834306
753	0.2557734764
754	0.2557699519
755	0.2557596061
756	0.2557518248
757	0.2557450557
758	0.255735345
759	0.2557311598
760	0.2557261038
761	0.2557231603
762	0.2557164423
763	0.255706516
764	0.2557013895
765	0.2556886813
766	0.2556777756
767	0.2556632002
768	0.2556509334
769	0.2556359878
770	0.255629671
771	0.2556275093
772	0.2556203769
773	0.2556074361
774	0.2556028334
775	0.255599494
776	0.2555981195
777	0.2555864858
778	0.255575065
779	0.2555622057
780	0.255544573
781	0.2555389321
782	0.2555327205
783	0.255516315
784	0.2555026754
785	0.2555000893
786	0.2554931424
787	0.2554824583
788	0.2554705333
789	0.2554597785
790	0.2554525381
791	0.2554438837
792	0.255436851
793	0.2554324163
794	0.2554279334
795	0.2554166034
796	0.2554149919
797	0.2554017094
798	0.2553968447
799	0.2553863232
800	0.2553735294
801	0.2553621743
802	0.2553495734
803	0.2553436291
804	0.2553288108
805	0.2553260372
806	0.2553158746
807	0.2553137549
808	0.2553079998
809	0.2553029042
810	0.255300202
811	0.2552894266
812	0.2552741214
813	0.2552698547
814	0.2552665476
815	0.2552602783
816	0.2552551302
817	0.2552518166
818	0.2552465223
819	0.2552437867
820	0.2552313607
821	0.2552251991
822	0.2552183899
823	0.2552081659
824	0.2552013157
825	0.2551925746
826	0.255178101
827	0.2551654831
828	0.2551634488
829	0.2551506749
830	0.2551465507
831	0.255138885
832	0.2551336284
833	0.2551215753
834	0.2551158362
835	0.2551069195
836	0.2550988039
837	0.2550971211
838	0.2550904758
839	0.2550841364
840	0.2550733304
841	0.2550680203
842	0.2550576476
843	0.2550567942
844	0.2550468159
845	0.2550437283
846	0.2550290137
847	0.2550198384
848	0.2550122338
849	0.255001755
850	0.2549930019
851	0.2549821061
852	0.2549775342
853	0.254974692
854	0.2549605783
855	0.2549508167
856	0.2549418354
857	0.2549408012
858	0.254929403
859	0.2549170886
