iter	Passed	Remaining
0	94	94836
1	182	91039
2	271	90119
3	354	88278
4	426	84938
5	501	83129
6	570	80971
7	645	80004
8	726	80007
9	821	81350
10	898	80759
11	958	78947
12	1037	78754
13	1123	79119
14	1202	78953
15	1293	79571
16	1372	79352
17	1439	78558
18	1507	77823
19	1587	77775
20	1666	77667
21	1742	77447
22	1826	77606
23	1900	77292
24	1976	77089
25	2053	76927
26	2120	76424
27	2186	75908
28	2251	75369
29	2320	75028
30	2393	74816
31	2459	74393
32	2545	74604
33	2634	74850
34	2689	74162
35	2758	73868
36	2826	73553
37	2903	73503
38	2993	73761
39	3060	73455
40	3136	73353
41	3230	73676
42	3311	73694
43	3373	73303
44	3456	73356
45	3491	72404
46	3581	72620
47	3652	72436
48	3718	72175
49	3792	72050
50	3866	71948
51	3926	71589
52	3981	71134
53	4043	70831
54	4106	70560
55	4147	69921
56	4199	69478
57	4271	69368
58	4349	69372
59	4450	69717
60	4533	69793
61	4609	69737
62	4676	69551
63	4741	69351
64	4808	69169
65	4896	69295
66	4982	69379
67	5066	69443
68	5139	69340
69	5228	69466
70	5299	69345
71	5375	69286
72	5454	69262
73	5523	69118
74	5587	68915
75	5660	68819
76	5726	68640
77	5808	68663
78	5887	68641
79	5943	68355
80	6006	68152
81	6076	68025
82	6129	67719
83	6187	67473
84	6253	67320
85	6311	67077
86	6372	66877
87	6451	66861
88	6524	66782
89	6590	66641
90	6662	66549
91	6744	66561
92	6832	66632
93	6912	66622
94	7008	66762
95	7073	66612
96	7142	66487
97	7206	66325
98	7278	66240
99	7364	66282
100	7450	66319
101	7541	66394
102	7653	66652
103	7756	66825
104	7875	67129
105	7981	67311
106	8064	67300
107	8151	67325
108	8254	67474
109	8376	67771
110	8458	67743
111	8560	67870
112	8637	67803
113	8710	67700
114	8796	67694
115	8877	67649
116	8959	67619
117	9046	67615
118	9129	67586
119	9221	67625
120	9300	67560
121	9370	67435
122	9454	67409
123	9528	67313
124	9583	67087
125	9668	67064
126	9737	66935
127	9814	66861
128	9898	66835
129	9963	66679
130	10040	66605
131	10101	66421
132	10165	66266
133	10245	66210
134	10317	66107
135	10382	65959
136	10448	65817
137	10543	65857
138	10628	65835
139	10713	65811
140	10784	65702
141	10873	65702
142	10942	65580
143	11012	65465
144	11068	65264
145	11143	65183
146	11240	65222
147	11309	65108
148	11373	64957
149	11459	64935
150	11528	64817
151	11604	64740
152	11679	64654
153	11745	64526
154	11804	64354
155	11889	64325
156	11972	64282
157	12054	64240
158	12163	64334
159	12285	64496
160	12386	64546
161	12473	64522
162	12564	64519
163	12647	64469
164	12740	64476
165	12828	64452
166	12904	64369
167	12993	64348
168	13077	64306
169	13170	64301
170	13241	64195
171	13333	64185
172	13426	64181
173	13512	64144
174	13582	64030
175	13664	63975
176	13746	63919
177	13823	63837
178	13919	63844
179	14007	63814
180	14092	63766
181	14186	63762
182	14275	63734
183	14376	63757
184	14471	63754
185	14545	63655
186	14618	63556
187	14714	63555
188	14798	63499
189	14878	63427
190	14961	63370
191	15038	63286
192	15113	63193
193	15186	63095
194	15255	62978
195	15334	62902
196	15386	62717
197	15464	62637
198	15531	62517
199	15602	62408
200	15665	62273
201	15734	62159
202	15786	61977
203	15855	61869
204	15929	61776
205	15989	61630
206	16067	61554
207	16138	61449
208	16214	61366
209	16281	61249
210	16367	61204
211	16441	61111
212	16517	61030
213	16598	60964
214	16671	60872
215	16767	60860
216	16863	60847
217	16949	60800
218	17023	60711
219	17092	60600
220	17162	60494
221	17230	60386
222	17298	60271
223	17379	60209
224	17441	60077
225	17523	60015
226	17600	59933
227	17677	59856
228	17744	59741
229	17825	59678
230	17904	59602
231	17974	59503
232	18064	59464
233	18129	59348
234	18213	59289
235	18294	59225
236	18381	59177
237	18456	59090
238	18530	59001
239	18631	59000
240	18733	59000
241	18837	59004
242	18927	58962
243	18980	58807
244	19076	58785
245	19162	58735
246	19261	58718
247	19349	58672
248	19419	58570
249	19494	58484
250	19563	58378
251	19646	58316
252	19716	58214
253	19796	58143
254	19876	58071
255	19971	58041
256	20083	58062
257	20194	58079
258	20273	58003
259	20367	57968
260	20436	57862
261	20517	57793
262	20603	57738
263	20679	57650
264	20769	57604
265	20878	57611
266	20986	57615
267	21083	57585
268	21182	57561
269	21271	57511
270	21362	57466
271	21454	57421
272	21553	57398
273	21632	57318
274	21719	57260
275	21812	57217
276	21916	57205
277	21989	57109
278	22065	57021
279	22145	56944
280	22223	56863
281	22295	56766
282	22376	56693
283	22458	56620
284	22526	56513
285	22596	56412
286	22680	56345
287	22761	56271
288	22830	56168
289	22904	56075
290	22964	55950
291	23044	55876
292	23126	55804
293	23203	55719
294	23278	55631
295	23367	55576
296	23446	55497
297	23526	55421
298	23584	55292
299	23653	55190
300	23717	55078
301	23789	54982
302	23870	54909
303	23947	54827
304	24027	54750
305	24105	54671
306	24169	54558
307	24261	54508
308	24333	54416
309	24409	54330
310	24460	54190
311	24540	54115
312	24598	53991
313	24664	53884
314	24753	53828
315	24827	53741
316	24907	53664
317	24974	53561
318	25030	53434
319	25090	53317
320	25165	53231
321	25246	53158
322	25317	53065
323	25379	52952
324	25454	52867
325	25531	52786
326	25597	52682
327	25653	52558
328	25711	52439
329	25792	52367
330	25867	52281
331	25942	52196
332	26013	52105
333	26101	52045
334	26177	51965
335	26249	51873
336	26323	51787
337	26402	51710
338	26481	51634
339	26558	51555
340	26633	51470
341	26715	51400
342	26782	51299
343	26863	51228
344	26962	51189
345	27034	51100
346	27102	51003
347	27184	50931
348	27266	50861
349	27330	50757
350	27391	50647
351	27475	50579
352	27548	50492
353	27627	50416
354	27690	50311
355	27756	50210
356	27822	50111
357	27887	50010
358	27954	49912
359	28032	49835
360	28107	49753
361	28197	49696
362	28267	49604
363	28349	49534
364	28423	49449
365	28503	49374
366	28567	49273
367	28648	49199
368	28731	49130
369	28804	49044
370	28883	48970
371	28964	48897
372	29036	48809
373	29102	48710
374	29158	48597
375	29240	48527
376	29331	48470
377	29405	48386
378	29483	48309
379	29563	48235
380	29635	48147
381	29693	48038
382	29749	47925
383	29828	47849
384	29901	47764
385	29987	47700
386	30059	47613
387	30144	47546
388	30213	47456
389	30300	47392
390	30365	47295
391	30465	47252
392	30567	47212
393	30648	47139
394	30747	47093
395	30828	47021
396	30910	46949
397	30975	46852
398	31046	46764
399	31129	46694
400	31230	46650
401	31324	46596
402	31428	46557
403	31534	46521
404	31623	46459
405	31719	46407
406	31802	46336
407	31857	46223
408	31915	46117
409	31997	46045
410	32088	45985
411	32169	45911
412	32246	45831
413	32333	45767
414	32412	45690
415	32498	45622
416	32598	45574
417	32694	45521
418	32762	45429
419	32829	45336
420	32902	45251
421	32976	45166
422	33057	45092
423	33136	45015
424	33224	44950
425	33308	44880
426	33387	44803
427	33470	44731
428	33547	44651
429	33617	44562
430	33681	44465
431	33763	44392
432	33844	44318
433	33922	44239
434	34007	44170
435	34089	44097
436	34190	44049
437	34271	43973
438	34354	43901
439	34453	43850
440	34545	43789
441	34642	43734
442	34728	43665
443	34806	43586
444	34906	43535
445	35006	43483
446	35110	43435
447	35190	43359
448	35292	43310
449	35392	43257
450	35471	43179
451	35568	43122
452	35652	43050
453	35735	42976
454	35806	42889
455	35883	42808
456	35995	42769
457	36100	42721
458	36161	42622
459	36225	42525
460	36303	42445
461	36374	42357
462	36445	42270
463	36538	42208
464	36633	42148
465	36725	42084
466	36799	42000
467	36876	41919
468	36967	41854
469	37086	41821
470	37201	41782
471	37301	41726
472	37410	41681
473	37518	41634
474	37629	41589
475	37723	41527
476	37812	41458
477	37890	41378
478	37965	41293
479	38030	41199
480	38108	41118
481	38210	41064
482	38304	41000
483	38391	40929
484	38478	40858
485	38563	40785
486	38649	40712
487	38712	40615
488	38792	40537
489	38854	40440
490	38911	40337
491	38988	40256
492	39069	40178
493	39129	40080
494	39186	39978
495	39265	39899
496	39322	39797
497	39417	39734
498	39499	39657
499	39557	39557
500	39638	39480
501	39727	39410
502	39846	39371
503	39947	39313
504	40049	39256
505	40143	39191
506	40244	39133
507	40301	39032
508	40368	38941
509	40430	38845
510	40501	38758
511	40583	38681
512	40676	38614
513	40751	38531
514	40825	38447
515	40898	38361
516	40972	38277
517	41044	38191
518	41122	38111
519	41195	38026
520	41266	37939
521	41319	37837
522	41382	37742
523	41460	37662
524	41534	37578
525	41622	37508
526	41711	37437
527	41790	37358
528	41871	37280
529	41941	37193
530	42023	37116
531	42101	37037
532	42188	36964
533	42262	36880
534	42338	36799
535	42414	36716
536	42499	36642
537	42569	36555
538	42646	36474
539	42729	36399
540	42783	36298
541	42854	36212
